,Name,address,latitude,longitude
0,Европа,"Театральная ул., 30, Калининград",54.717749988063,20.498990025604
1,Калининград Плаза,"Ленинский просп., 30",54.71121000811,20.508229984207
2,Эпицентр,"ул. Горького, 2, подъезд 1",54.721559982152,20.509249978005
3,Эпицентр,"ул. Профессора Баранова, 30, этаж 4",54.721619996578,20.509179989113
4,Акрополь,"ул. Профессора Баранова, 34, Калининград",54.721149981358,20.506389988822
5,Мега центр,"ул. Генерал-Лейтенанта Озерова, 17, корп. 1, Калининград",54.725709988142,20.50254998752
6,Кловер Сити,"площадь Победы, 10, Калининград",54.719599999822,20.503890002381
7,Сити,"Московский просп., 171А, Калининград",54.710589998733,20.542910024777
8,Z Форт,"ул. Профессора Баранова, 1, Калининград, подъезд 1",54.721635198699,20.512596672719
9,Экватор,"ул. Генерала Челнокова, 11, Калининград",54.738030002796,20.486049959662
10,Балтийская галерея,"Нарвская ул., 112, Калининград",54.743200980355,20.499180091776
11,Рой Джой,"Московский просп., 175, Калининград",54.710700011212,20.547480006026
12,Морской,"Театральная ул., 35, Калининград",54.717749988063,20.497260000788
13,Мега Маркет,"Уральская ул., 18, Калининград",54.724629979918,20.502070039745
14,Vanda,"ул. Фрунзе, 6В, Калининград",54.711909980845,20.521529969071
15,Планета,"ул. Черняховского, 26, Калининград",54.719560018144,20.507349968193
16,Сельма,"ул. Генерала Челнокова, 11, лит.Ж, Калининград",54.736719995149,20.488039991114
17,Меркурий,"Ленинский просп., 67Б, Калининград, ТЦ Меркурий, этаж 5, офис 505",54.712909983803,20.507939970357
18,Маяк,"Театральная ул., 21, Калининград",54.716560009269,20.500379996607
19,Дадаевский,"ул. Старшины Дадаева, 62, Калининград",54.728970003654,20.541449981062
20,Янтарный бульвар,"ул. Виктора Гюго, 1, Калининград",55.91417,37.82556
21,Полоцкий 1,"Полоцкая ул., 45, Калининград",54.702059987328,20.498149991267
22,Две пятёрки,"ул. Горького, 55, Калининград",54.72119997941,20.592480013423
23,Мега мебель,"ул. Мусоргского, 10, корп. 44, Калининград",54.726900008846,20.501959985356
24,Green Market,"ул. Генерала Челнокова, 21, Калининград",54.739491653146,20.485866119023
25,История,"ул. Профессора Баранова, 2Б",54.721930001267,20.512459995464
26,Индиго,"Театральная ул., 30, этаж 2й, этаж 3й",54.717749988063,20.498990025604
27,Невский,"ул. Александра Невского, 36В",54.72777998295,20.52889003443
28,Артиллерийский,"Артиллерийская ул., 22",54.732100015847,20.539899999527
29,Мега мебель,"ул. Генерал-Лейтенанта Озерова, 17Б",54.725900005887,20.501290019835
30,Запад 39,"Дачная ул., 6",54.748339995159,20.449049975932
31,ТЦ Оазис,"Железнодорожная ул., 7В",54.693810015309,20.500709992135
32,Индиго,"ул. Генерала Челнокова, 11, Строение 1, этаж 3",54.738030002796,20.486049959662
33,Колос,"ул. Черняховского, 15, лит.Б",54.721700001844,20.513440007583
34,Московский,"Московский просп., 133В",54.710119983512,20.53015997658
35,Сельма Холл,"ул. Маршала Жукова, 3",54.750184691976,20.491586263793
36,Балтик-Престиж,"площадь Маршала Василевского, 2",54.719849990085,20.523610022163
37,Спортивный,"ул. Юрия Гагарина, 99",54.724939984607,20.549649996939
38,Гут,"ул. Профессора Баранова, 6",54.721450855887,20.511667429428
39,Ленинский 18,"Ленинский просп., 18Б",54.713629989286,20.504440022867
40,Zeta,"Ялтинская ул., 20, этаж 2",54.706849993536,20.543649979189
41,Северный,"Зелёная ул., 76",54.739340010443,20.503569981318
42,Волна,"Полоцкая ул., 45",54.702059987328,20.498149991267
43,Торговый центр,"Ленинский просп., 10, этаж цокольный",54.714779986401,20.504029980164
44,Барнаульский,"Барнаульская ул., 2, офис 263, 267, этаж 2",54.714629992244,20.502029974247
45,Виктория,"ул. 9 Апреля, 9",54.715920009052,20.522300014516
46,Северный,"Советский просп., 6А, ТЦ Северный",54.722179991529,20.49945002445
47,Детский развлекательный центр Киндер штрассе,"ул. Мусоргского, 10А",54.726360004733,20.501950010891
48,Гермес,"Советский просп., 2А, ТЦ Гермес",54.721600005739,20.499320021132
49,Калужский,"Калужская ул., 10, этаж цокольный",54.728740004231,20.500459959964
50,Районный торговый центр,"ул. Литовский Вал, 2",54.719669057583,20.52859332773
51,Тридевятое королевство,"Юбилейная ул., 18, на территории РК Резиденция Королей",54.718463529374,20.537880136995
52,LaserGame,"Мариупольская ул., 14, этаж 2",54.708439998659,20.498860022285
53,Атриум,"площадь Победы, 4, этаж цокольный",54.720830002204,20.499880016083
54,Новый двор,"ул. Профессора Баранова, 43",54.720500006676,20.506150014934
55,Велес,"Пролетарская ул., 82",54.719439989291,20.514099998639
56,Торгово-офисный центр,"ул. Александра Невского, 193А",54.748550003743,20.536689982068
57,Запад39,"Московский просп., 173",54.710629980411,20.545689966784
58,ТОЦ Ванда,"ул. Фрунзе, 6В, комната 712, этаж 7",54.711909980845,20.521529969071
59,Империя инков,"Дачная ул., 6, этаж 3",54.748339995159,20.449049975932
60,Россиянка,"ул. Согласия, 14А",54.743219993423,20.493329977846
61,Галерея,"ул. Черняховского, 15А",54.720159994774,20.508389994739
62,Юко,"Ленинский просп., 117",54.700490014954,20.504250005122
63,ТЦ Магнит,"Артёмовская ул., 1А",54.70907,20.50928
64,От… и ДО,"ул. Горького, 2",54.721559982152,20.509249978005
65,Оазис,"Железнодорожная ул., 7В",54.693810015309,20.500709992135
